Tempo,PosicaoX,PosicaoY
207,6582879.35,1581039.78
208,6581078.87,1588498.60
209,6579269.95,1595955.38
210,6577452.57,1603410.11
211,6575626.75,1610862.77
212,6573792.47,1618313.37
213,6571949.76,1625761.89
214,6570098.60,1633208.32
215,6568239.00,1640652.65
216,6566370.97,1648094.88
217,6564494.50,1655534.99
218,6562609.59,1662972.97
219,6560716.26,1670408.81
220,6558814.50,1677842.51
221,6556904.32,1685274.06
222,6554985.71,1692703.44
223,6553058.68,1700130.64
224,6551123.23,1707555.67
225,6549179.37,1714978.49
226,6547227.10,1722399.12
227,6545266.41,1729817.53
228,6543297.32,1737233.72
229,6541319.82,1744647.68
230,6539333.92,1752059.40
231,6537339.62,1759468.86
232,6535336.92,1766876.07
233,6533325.82,1774281.01
234,6531306.33,1781683.66
235,6529278.46,1789084.03
236,6527242.19,1796482.10
237,6525197.54,1803877.87
238,6523144.51,1811271.31
239,6521083.10,1818662.43
240,6519013.31,1826051.21
241,6516935.15,1833437.65
242,6514848.61,1840821.73
243,6512753.71,1848203.45
244,6510650.44,1855582.79
245,6508538.80,1862959.75
246,6506418.81,1870334.31
247,6504290.45,1877706.48
248,6502153.74,1885076.23
249,6500008.68,1892443.56
250,6497855.27,1899808.45
251,6495693.51,1907170.91
252,6493523.40,1914530.92
253,6491344.96,1921888.47
254,6489158.17,1929243.55
255,6486963.05,1936596.15
256,6484759.60,1943946.26
257,6482547.81,1951293.88
258,6480327.70,1958638.98
259,6478099.26,1965981.58
260,6475862.50,1973321.64
261,6473617.42,1980659.17
262,6471364.02,1987994.16
263,6469102.31,1995326.60
264,6466832.29,2002656.47
265,6464553.96,2009983.76
266,6462267.33,2017308.48
267,6459972.39,2024630.60
268,6457669.16,2031950.12
269,6455357.63,2039267.04
270,6453037.80,2046581.33
271,6450709.69,2053892.99
272,6448373.29,2061202.02
273,6446028.60,2068508.39
274,6443675.64,2075812.11
275,6441314.39,2083113.16
276,6438944.87,2090411.54
277,6436567.08,2097707.23
278,6434181.02,2105000.23
279,6431786.69,2112290.52
280,6429384.10,2119578.09
281,6426973.25,2126862.95
282,6424554.15,2134145.07
283,6422126.79,2141424.45
284,6419691.18,2148701.08
285,6417247.32,2155974.95
286,6414795.22,2163246.05
287,6412334.87,2170514.37
288,6409866.29,2177779.90
289,6407389.47,2185042.63
290,6404904.42,2192302.56
291,6402411.14,2199559.67
292,6399909.64,2206813.95
293,6397399.92,2214065.40
294,6394881.97,2221314.00
295,6392355.81,2228559.75
296,6389821.44,2235802.64
297,6387278.86,2243042.65
298,6384728.07,2250279.79
299,6382169.08,2257514.03
300,6379601.89,2264745.37
301,6377026.50,2271973.80
302,6374442.92,2279199.31
303,6371851.15,2286421.90
304,6369251.19,2293641.55
305,6366643.05,2300858.25
306,6364026.73,2308071.99
307,6361402.24,2315282.77
308,6358769.57,2322490.57
309,6356128.73,2329695.39
310,6353479.73,2336897.22
311,6350822.56,2344096.04
312,6348157.23,2351291.86
313,6345483.75,2358484.65
314,6342802.12,2365674.41
315,6340112.33,2372861.13
316,6337414.40,2380044.81
317,6334708.33,2387225.42
318,6331994.12,2394402.97
319,6329271.77,2401577.44
320,6326541.29,2408748.83
321,6323802.68,2415917.12
322,6321055.95,2423082.31
323,6318301.10,2430244.38
324,6315538.13,2437403.34
325,6312767.04,2444559.16
326,6309987.84,2451711.84
327,6307200.54,2458861.37
328,6304405.13,2466007.74
329,6301601.62,2473150.94
330,6298790.02,2480290.96
331,6295970.32,2487427.80
332,6293142.53,2494561.44
333,6290306.66,2501691.88
334,6287462.71,2508819.10
335,6284610.68,2515943.10
336,6281750.57,2523063.87
337,6278882.39,2530181.39
338,6276006.14,2537295.67
339,6273121.83,2544406.68
340,6270229.46,2551514.42
341,6267329.04,2558618.89
342,6264420.56,2565720.07
343,6261504.03,2572817.95
344,6258579.45,2579912.53
345,6255646.84,2587003.79
346,6252706.19,2594091.72
347,6249757.50,2601176.33
348,6246800.78,2608257.59
349,6243836.04,2615335.50
350,6240863.27,2622410.05
351,6237882.49,2629481.23
352,6234893.69,2636549.03
353,6231896.88,2643613.45
354,6228892.06,2650674.47
355,6225879.24,2657732.08
356,6222858.42,2664786.27
357,6219829.60,2671837.05
358,6216792.79,2678884.39
359,6213747.99,2685928.28
360,6210695.21,2692968.73
361,6207634.45,2700005.72
362,6204565.71,2707039.23
363,6201489.00,2714069.27
364,6198404.32,2721095.82
365,6195311.68,2728118.88
366,6192211.08,2735138.43
367,6189102.52,2742154.46
368,6185986.00,2749166.97
369,6182861.54,2756175.95
370,6179729.14,2763181.39
371,6176588.79,2770183.28
372,6173440.51,2777181.61
373,6170284.29,2784176.36
374,6167120.15,2791167.55
375,6163948.08,2798155.14
376,6160768.09,2805139.14
377,6157580.18,2812119.54
378,6154384.37,2819096.32
379,6151180.64,2826069.48
380,6147969.01,2833039.00
381,6144749.48,2840004.89
382,6141522.06,2846967.13
383,6138286.74,2853925.71
384,6135043.53,2860880.62
385,6131792.45,2867831.86
386,6128533.48,2874779.41
387,6125266.64,2881723.27
388,6121991.92,2888663.42
389,6118709.34,2895599.86
390,6115418.90,2902532.58
391,6112120.60,2909461.58
392,6108814.45,2916386.83
393,6105500.44,2923308.33
394,6102178.59,2930226.08
395,6098848.90,2937140.07
396,6095511.37,2944050.28
397,6092166.01,2950956.70
398,6088812.82,2957859.34
399,6085451.81,2964758.17
400,6082082.97,2971653.20
401,6078706.33,2978544.40
402,6075321.87,2985431.78
403,6071929.60,2992315.32
404,6068529.53,2999195.02
405,6065121.66,3006070.86
406,6061706.00,3012942.84
407,6058282.55,3019810.94
408,6054851.31,3026675.17
409,6051412.29,3033535.51
410,6047965.50,3040391.95
411,6044510.94,3047244.48
412,6041048.60,3054093.10
413,6037578.51,3060937.79
414,6034100.65,3067778.55
415,6030615.04,3074615.36
416,6027121.69,3081448.23
417,6023620.58,3088277.14
418,6020111.74,3095102.07
419,6016595.16,3101923.03
420,6013070.85,3108740.00
421,6009538.81,3115552.98
422,6005999.05,3122361.96
423,6002451.57,3129166.92
424,5998896.37,3135967.86
425,5995333.47,3142764.77
426,5991762.87,3149557.64
427,5988184.56,3156346.47
428,5984598.56,3163131.24
429,5981004.86,3169911.94
430,5977403.49,3176688.57
431,5973794.43,3183461.12
432,5970177.69,3190229.58
433,5966553.28,3196993.93
434,5962921.20,3203754.18
435,5959281.46,3210510.31
436,5955634.06,3217262.32
437,5951979.01,3224010.19
438,5948316.31,3230753.92
439,5944645.97,3237493.50
440,5940967.98,3244228.91
441,5937282.36,3250960.16
442,5933589.11,3257687.23
443,5929888.24,3264410.11
444,5926179.74,3271128.80
445,5922463.63,3277843.28
446,5918739.91,3284553.55
447,5915008.58,3291259.60
448,5911269.65,3297961.42
449,5907523.12,3304659.00
450,5903769.01,3311352.33
451,5900007.30,3318041.41
452,5896238.01,3324726.23
453,5892461.15,3331406.77
454,5888676.71,3338083.03
455,5884884.70,3344755.00
456,5881085.13,3351422.68
457,5877278.00,3358086.04
458,5873463.32,3364745.09
459,5869641.09,3371399.82
460,5865811.32,3378050.21
461,5861974.01,3384696.26
462,5858129.17,3391337.96
463,5854276.79,3397975.30
464,5850416.90,3404608.28
465,5846549.48,3411236.88
466,5842674.55,3417861.10
467,5838792.11,3424480.92
468,5834902.17,3431096.34
469,5831004.73,3437707.36
470,5827099.80,3444313.95
471,5823187.37,3450916.12
472,5819267.46,3457513.86
473,5815340.08,3464107.15
474,5811405.22,3470695.98
475,5807462.89,3477280.36
476,5803513.09,3483860.27
477,5799555.84,3490435.70
478,5795591.14,3497006.65
479,5791618.98,3503573.10
480,5787639.39,3510135.04
481,5783652.35,3516692.48
482,5779657.88,3523245.40
483,5775655.98,3529793.79
484,5771646.66,3536337.64
485,5767629.93,3542876.95
486,5763605.78,3549411.70
487,5759574.22,3555941.89
488,5755535.26,3562467.51
489,5751488.90,3568988.56
490,5747435.15,3575505.01
491,5743374.02,3582016.88
492,5739305.50,3588524.13
493,5735229.60,3595026.78
494,5731146.34,3601524.80
495,5727055.71,3608018.20
496,5722957.72,3614506.96
497,5718852.37,3620991.07
498,5714739.67,3627470.53
499,5710619.63,3633945.33
500,5706492.25,3640415.45
501,5702357.53,3646880.90
502,5698215.48,3653341.66
503,5694066.12,3659797.73
504,5689909.43,3666249.09
505,5685745.43,3672695.74
506,5681574.12,3679137.66
507,5677395.51,3685574.86
508,5673209.60,3692007.33
509,5669016.40,3698435.05
510,5664815.92,3704858.01
511,5660608.15,3711276.21
512,5656393.11,3717689.64
513,5652170.80,3724098.30
514,5647941.22,3730502.17
515,5643704.38,3736901.24
516,5639460.29,3743295.51
517,5635208.96,3749684.97
518,5630950.38,3756069.61
519,5626684.56,3762449.42
520,5622411.51,3768824.39
521,5618131.23,3775194.52
522,5613843.73,3781559.80
523,5609549.02,3787920.22
524,5605247.09,3794275.77
525,5600937.97,3800626.45
526,5596621.64,3806972.23
527,5592298.12,3813313.13
528,5587967.41,3819649.12
529,5583629.52,3825980.21
530,5579284.45,3832306.37
531,5574932.21,3838627.61
532,5570572.81,3844943.92
533,5566206.25,3851255.28
534,5561832.53,3857561.70
535,5557451.66,3863863.16
536,5553063.65,3870159.65
537,5548668.50,3876451.16
538,5544266.22,3882737.69
539,5539856.81,3889019.24
540,5535440.29,3895295.78
541,5531016.64,3901567.32
542,5526585.89,3907833.84
543,5522148.04,3914095.34
544,5517703.08,3920351.80
545,5513251.04,3926603.23
546,5508791.91,3932849.62
547,5504325.69,3939090.94
548,5499852.41,3945327.21
549,5495372.05,3951558.40
550,5490884.63,3957784.51
551,5486390.15,3964005.54
552,5481888.62,3970221.47
553,5477380.04,3976432.29
554,5472864.42,3982638.01
555,5468341.77,3988838.61
556,5463812.09,3995034.07
557,5459275.39,4001224.41
558,5454731.66,4007409.60
559,5450180.93,4013589.64
560,5445623.19,4019764.52
561,5441058.45,4025934.24
562,5436486.72,4032098.77
563,5431908.00,4038258.13
564,5427322.30,4044412.30
565,5422729.62,4050561.26
566,5418129.97,4056705.02
567,5413523.35,4062843.57
568,5408909.78,4068976.89
569,5404289.26,4075104.98
570,5399661.78,4081227.84
571,5395027.37,4087345.45
572,5390386.02,4093457.80
573,5385737.74,4099564.89
574,5381082.55,4105666.72
575,5376420.43,4111763.26
576,5371751.40,4117854.52
577,5367075.47,4123940.49
578,5362392.63,4130021.15
579,5357702.91,4136096.51
580,5353006.30,4142166.55
581,5348302.80,4148231.27
582,5343592.44,4154290.65
583,5338875.20,4160344.69
584,5334151.10,4166393.39
585,5329420.14,4172436.73
586,5324682.34,4178474.70
587,5319937.68,4184507.31
588,5315186.19,4190534.53
589,5310427.87,4196556.37
590,5305662.72,4202572.82
591,5300890.75,4208583.86
592,5296111.97,4214589.49
593,5291326.37,4220589.70
594,5286533.98,4226584.49
595,5281734.79,4232573.85
596,5276928.81,4238557.76
597,5272116.05,4244536.23
598,5267296.51,4250509.24
599,5262470.20,4256476.79
600,5257637.12,4262438.86
601,5252797.29,4268395.45
602,5247950.70,4274346.56
603,5243097.37,4280292.18
